timestamp,artist,title,genres,popularity
2026-01-09 16:56:00,WYS,By The Sea,"lo-fi, lo-fi hip hop, lo-fi beats",54
2026-01-09 16:58:00,bCalm,Blessed,"lo-fi, lo-fi hip hop, lo-fi beats",57
2026-01-09 17:01:00,mell-ø,illume,"lo-fi hip hop, lo-fi, lo-fi beats",52
2026-01-09 17:03:00,stream_error,Suspended Emotions,"lo-fi, lo-fi hip hop, lo-fi beats",46
2026-01-09 17:06:00,Bhxa,Ayla,"lo-fi, lo-fi hip hop, lo-fi beats, dark ambient",43
2026-01-09 17:07:00,Tenno,My Safe Haven,"lo-fi, lo-fi hip hop, lo-fi beats",52
2026-01-09 17:10:00,GlobulDub,Sail,"lo-fi hip hop, lo-fi beats, lo-fi, jazz beats",38
2026-01-09 17:13:00,Dontcry,Old Friends,"lo-fi, lo-fi hip hop, lo-fi beats",58
2026-01-09 17:17:00,DLJ,Passenger,"lo-fi hip hop, lo-fi, lo-fi beats",48
2026-01-09 17:20:00,Aboueb,missed call,lo-fi,35
2026-01-09 17:22:00,Tenno,Eternal Beauty,"lo-fi, lo-fi hip hop, lo-fi beats",52
2026-01-09 17:25:00,berezy,Westerly Wind,"jazz beats, lo-fi, lo-fi beats",46
2026-01-09 17:27:00,mell-ø,Sleep Well,"lo-fi hip hop, lo-fi, lo-fi beats",52
2026-01-09 17:29:00,Sleepermane,Lumia,"lo-fi hip hop, lo-fi, lo-fi beats",56
2026-01-09 17:31:00,Lesky,Summer Novel,"lo-fi beats, lo-fi, lo-fi hip hop, jazz beats",45
2026-01-09 17:34:00,ornaut,juno,lo-fi,41
2026-01-09 17:36:00,Dinis,Sa Conca,"lo-fi, lo-fi beats",43
2026-01-09 17:39:00,bCalm,Lotus,"lo-fi, lo-fi hip hop, lo-fi beats",57
2026-01-09 17:41:00,Lilac,Paper Moon,"lo-fi hip hop, lo-fi, lo-fi beats",46
2026-01-09 17:43:00,kainbeats,Formless,"lo-fi, lo-fi hip hop, lo-fi beats",59
2026-01-09 17:46:00,Dimension 32,Et Vincit Per Luce,"lo-fi, lo-fi hip hop, lo-fi beats",56
2026-01-09 17:48:00,Nuver,drift,"lo-fi hip hop, lo-fi, lo-fi beats",54
2026-01-09 17:51:00,hoogway,Beauty In All Forms,"lo-fi hip hop, lo-fi, lo-fi beats",62
2026-01-09 17:53:00,Tatami Construct,dew slate,"lo-fi, lo-fi hip hop",42
2026-01-09 17:55:00,bluntone,Endless Universe,"lo-fi hip hop, lo-fi, lo-fi beats",56
2026-01-09 17:57:00,fnonose,awaiting,"lo-fi, lo-fi beats",56
2026-01-09 17:59:00,Lomme,Cup of Coffee,"lo-fi hip hop, lo-fi",46
2026-01-09 18:02:00,WYS,The Bad Party,"lo-fi, lo-fi hip hop, lo-fi beats",54
2026-01-09 18:05:00,Juliàn,Chill Waters,"lo-fi, lo-fi beats",57
2026-01-09 18:07:00,Team Astro,Jupiter,"lo-fi hip hop, lo-fi, lo-fi beats",50
2026-01-09 18:10:00,MyceliumBug,Sleep Well,"lo-fi, jazz beats",51
2026-01-09 18:12:00,Louk,I'll Meet You At The Station,"lo-fi hip hop, lo-fi",33
2026-01-09 18:14:00,Laffey,A Kid At Heart,"lo-fi hip hop, lo-fi, lo-fi beats",58
2026-01-09 18:17:00,Lawrence Walther,Sand Cottage,"lo-fi, lo-fi hip hop, lo-fi beats",50
2026-01-09 18:20:00,kyu,Stargazing,"lo-fi hip hop, lo-fi",46
2026-01-09 18:23:00,Intoku,Noctu,"lo-fi, lo-fi hip hop",42
2026-01-09 18:24:00,Julián Aponte,Floating adrift,lo-fi,44
2026-01-09 18:27:00,mujo,Sleeping On Clouds,"lo-fi, lo-fi hip hop, lo-fi beats, jazz beats",55
